pool,attacker_key,event_count,total_profit,net_profit
BisonFi,y23RmrqysEDtAL2MaN81vSoTQu7kCGLE2sCz9XaZBup,1,0.04,0.036
BisonFi,yUwUyoufLrCmjcgURefVzvAfpcaZ2so6be4uDziT9aH,1,0.07,0.063
GoonFi,1989zAmZBwkwR6g8S3H8gkDhHRm3P11gpurN7faJqDu,1,0.15,0.135
GoonFi,1aTFUD4BJL3CXAK5NSgDJVR99nVpQrK1BqD5SGSix23,1,0.06,0.054
GoonFi,1m41vx4LWBa2Ad2S8iTvpuATdtaj3oX1EjzBxXRgtnw,1,0.0,0.0
GoonFi,2EZWAWuv9e4pgcxPZRMmEffDH8q45S573gu5pDRp72HT,1,0.05,0.045
GoonFi,2Q5RrycwL7UsYTnLe3Vkc7wYuhjBa3DUsW3QLMMo9s6p,1,0.0,0.0
GoonFi,2SvvSFgzM9zEE1Y1vNXorfurtB2eRH3QHpMkpcVTXfrc,1,0.0,0.0
GoonFi,2UgESP8oanjGsfk8BPzWKrT32koWjPddMG4by9myxJ4t,1,0.0,0.0
GoonFi,2b4NhGTayvycDf7VvZGd6xpSjs3f7iiRZQSyjs71yJ23,1,0.07,0.063
GoonFi,2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,1,0.03,0.027
GoonFi,2m4vG7HTvuTSaGdWpGWNw2JHxiybc9kfVrT6GLsysqfZ,1,0.0,0.0
GoonFi,2npqrs8E9iWPGjRhWp7BsD9nG62xnBm9Av4rWgqF3ZPK,1,0.02,0.018
GoonFi,2os3mSvmQrYZLmBPQptKnnewHxCEemf1832F9eAgTNFq,1,0.0,0.0
GoonFi,2snHHreXbpJ7UwZxPe37gnUNf7Wx7wv6UKDSR2JckKuS,1,0.0,0.0
GoonFi,2svZLkuBny8diCa9kApRsHEgtPPtDo7aKasLUyPqUrDd,1,0.02,0.018
GoonFi,3333JG5dZ1nRDyKwCmrC3HwoevuaFP5L7p3AAjfagggg,1,0.0,0.0
GoonFi,33RNjB9VuwvDcnrun76ribrHc9orWJ3z6QfJMhbaAxo4,1,0.0,0.0
GoonFi,36gNcK8KDa6JydCVz82JNsWEFeqB4seBt7xjJFigXtTP,1,0.0,0.0
GoonFi,3AFNCquUPADb8BM8BatnYUJ61YeRsCQ7VngN7kBRj1VF,1,0.0,0.0
GoonFi,3DrFg2NQpeViS2eGN4summWbXeVxxmLgFmJtrzv2L9RS,1,0.0,0.0
GoonFi,3ErbZDeWNZUBmAnnTBNV8djakMSFkLZM9AmDX3eQduFZ,1,0.0,0.0
GoonFi,3NC8bmzCeEK2NBw1G5W6EmR66DNRW3gR22CGMt9EmxrU,1,0.01,0.009
GoonFi,3T8XA77YDpqDh4mVUuFqB11ipWKQgkZUXyviex5MTV4X,1,0.0,0.0
GoonFi,3bhzQj6ijmZxMZYXz8ER9ifemx1w52fHLtvbkKEQ3VrD,1,0.0,0.0
GoonFi,3ccqanQ7s9T7usEaPh6DcESrjW3MphhwEtDHKNmSxR23,1,0.1,0.09
GoonFi,3indrisYbCfcBCVPo1ZX66PdX54LCGzmDfNAsBMvBzpf,1,0.0,0.0
GoonFi,3mhCqKA8GZX9iS9FBzZXFexUKnZXWJUTRst4GFXLARcF,1,0.0,0.0
GoonFi,3tetkYWZVXT4fJmUeeruLB8dp66hhoGcrWwMnRyEtVQh,1,0.0,0.0
GoonFi,3xb1APhYyenJhoq6Kpjetps9rsmS8kJAGhXVBHaDyWmL,1,0.35,0.315
GoonFi,3y7kLXBNtfkUia3VpQKv3HqoSa3PeeoeodUEckGSrshd,1,0.0,0.0
GoonFi,47qGcvnQ6ivbfoccs1Ck56CByhfzoJKd8nA3DzX3jBEh,1,0.01,0.009
GoonFi,48MTZkhu9pgSwFUUn8Xuvasd4BAzoc7C4FMW1DtxdiT5,1,0.004,0.003
GoonFi,4PpqckjugqpjPxNhcfJ3GXgYLRuMK1dQEZswtNPdFKVL,1,0.0,0.0
GoonFi,4SGAeBnoRpov2jzV9XcveWrfwvbVwWa4haJwvg4ZrHkq,1,0.0,0.0
GoonFi,4UyZezzBhyscoQ6YXR8SxGXZWxcApcqY1bUnnGRxDFHV,1,0.0,0.0
GoonFi,4bEkAnJJSXue5REguwVF4TmdWxJ1aLqECMAZ3VPErPh7,1,0.004,0.003
GoonFi,4dC1XCS2R2rqm1TXgq2K2QX4T5eCSYTW5QSu4TJAYh23,1,0.03,0.027
GoonFi,4i3kFLZuutG5fvjg5wvq15n4NPpj12wXCRMyP7TcZbNj,1,0.19,0.171
GoonFi,4o9Sgxpam1ihEJLPKxpgPfMpgxhXpcGEqPGptLxGJ7yv,1,0.01,0.009
GoonFi,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,1,0.13,0.117
GoonFi,56DjENcFoefzQEogFPVn3JDdsgATuLMHu5byq67b8884,1,0.0,0.0
