signer,pool,total_profit,attack_count
4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,HumidiFi,2.178,1
4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,BisonFi,0.5760000000000001,1
4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,GoonFi,0.117,1
4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,SolFiV2,0.0809999999999999,1
4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,TesseraV,0.063,1
4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,ZeroFi,0.009,1
54Pz1e35z9uoFdnxtzjp7xZQoFiofqhdayQWBMN7dsuy,HumidiFi,0.027,1
5UH56M4SmCEnqNb5GrZ7XXx9vSLGJ3xihmLmSrFCk4EL,BisonFi,0.018,1
5UH56M4SmCEnqNb5GrZ7XXx9vSLGJ3xihmLmSrFCk4EL,HumidiFi,0.018,1
5UH56M4SmCEnqNb5GrZ7XXx9vSLGJ3xihmLmSrFCk4EL,TesseraV,0.009,1
5Y8qP9AavHyG69gTMbJP6v3Cj85VnDimdE1GZtfdV1WL,HumidiFi,0.054,1
5Y8qP9AavHyG69gTMbJP6v3Cj85VnDimdE1GZtfdV1WL,ObricV2,0.036,1
5Y8qP9AavHyG69gTMbJP6v3Cj85VnDimdE1GZtfdV1WL,BisonFi,0.027,1
5Y8qP9AavHyG69gTMbJP6v3Cj85VnDimdE1GZtfdV1WL,TesseraV,0.027,1
5Y8qP9AavHyG69gTMbJP6v3Cj85VnDimdE1GZtfdV1WL,GoonFi,0.009,1
5Zm6GraYjpaNCoAnTpWThxzynVZvPM8DdcVvyK9vecKT,HumidiFi,0.117,1
5Zm6GraYjpaNCoAnTpWThxzynVZvPM8DdcVvyK9vecKT,BisonFi,0.108,1
5Zm6GraYjpaNCoAnTpWThxzynVZvPM8DdcVvyK9vecKT,GoonFi,0.036,1
5Zm6GraYjpaNCoAnTpWThxzynVZvPM8DdcVvyK9vecKT,TesseraV,0.018,1
5cU5rbxAcpaGoPyms9jKoXQX5EiZzD3DNmwzbC3qE8Sd,HumidiFi,0.045,1
5cU5rbxAcpaGoPyms9jKoXQX5EiZzD3DNmwzbC3qE8Sd,BisonFi,0.027,1
5cU5rbxAcpaGoPyms9jKoXQX5EiZzD3DNmwzbC3qE8Sd,GoonFi,0.009,1
5cU5rbxAcpaGoPyms9jKoXQX5EiZzD3DNmwzbC3qE8Sd,SolFiV2,0.009,1
5cU5rbxAcpaGoPyms9jKoXQX5EiZzD3DNmwzbC3qE8Sd,TesseraV,0.009,1
5d8tDay1ZDV4XVUBtTvFvQiLxDe8dz2ZCdsrkmTDcbm5,HumidiFi,0.135,1
5ePvEZx19BZxVvF3nu6gQacoBA9mEFV82eGnRNrnhK23,GoonFi,0.063,1
5ePvEZx19BZxVvF3nu6gQacoBA9mEFV82eGnRNrnhK23,HumidiFi,0.045,1
5ePvEZx19BZxVvF3nu6gQacoBA9mEFV82eGnRNrnhK23,BisonFi,0.036,1
5ePvEZx19BZxVvF3nu6gQacoBA9mEFV82eGnRNrnhK23,SolFiV2,0.018,1
5ePvEZx19BZxVvF3nu6gQacoBA9mEFV82eGnRNrnhK23,TesseraV,0.009,1
5tkPL9BaSmj3W4YLDCocL41RPeLsw7CAEkWW7ivqF5v1,TesseraV,0.045,1
5tkPL9BaSmj3W4YLDCocL41RPeLsw7CAEkWW7ivqF5v1,HumidiFi,0.027,1
5tkPL9BaSmj3W4YLDCocL41RPeLsw7CAEkWW7ivqF5v1,ZeroFi,0.027,1
5tkPL9BaSmj3W4YLDCocL41RPeLsw7CAEkWW7ivqF5v1,BisonFi,0.009,1
5tkPL9BaSmj3W4YLDCocL41RPeLsw7CAEkWW7ivqF5v1,GoonFi,0.009,1
5wMHFyCgRrggsKWrvS2zHDHi7V6xfwfSAsZG95LwXYUQ,HumidiFi,0.09,1
5wMHFyCgRrggsKWrvS2zHDHi7V6xfwfSAsZG95LwXYUQ,BisonFi,0.027,1
5y5jCvdD6uTPjWbQtLj8ABQ56jCor2SxURidAqGSyviw,HumidiFi,0.018,1
5y5jCvdD6uTPjWbQtLj8ABQ56jCor2SxURidAqGSyviw,GoonFi,0.009,1
5y5jCvdD6uTPjWbQtLj8ABQ56jCor2SxURidAqGSyviw,SolFiV2,0.009,1
61yfAVS257Jgx7oMhUG5uZVZMbcnfuZM3JG3BYgdyfT4,GoonFi,0.027,1
61yfAVS257Jgx7oMhUG5uZVZMbcnfuZM3JG3BYgdyfT4,BisonFi,0.009,1
666zhExqDUnApdhG4YAN7Vw4eTQyc6L988mRTqjqh73t,BisonFi,0.009,1
666zhExqDUnApdhG4YAN7Vw4eTQyc6L988mRTqjqh73t,GoonFi,0.009,1
666zhExqDUnApdhG4YAN7Vw4eTQyc6L988mRTqjqh73t,HumidiFi,0.009,1
666zhExqDUnApdhG4YAN7Vw4eTQyc6L988mRTqjqh73t,TesseraV,0.009,1
66FKXM3n8hWZJH5vWfGTvAVRAAkvbR7TQK5dgPDGiZvm,HumidiFi,0.009,1
68HKBoDYFRK9DsXZgGuP7357D6ASrosHfLZYpvBiLbwK,TesseraV,0.036,1
68HKBoDYFRK9DsXZgGuP7357D6ASrosHfLZYpvBiLbwK,BisonFi,0.018,1
68HKBoDYFRK9DsXZgGuP7357D6ASrosHfLZYpvBiLbwK,GoonFi,0.018,1
6FPgDPwgAY4WskguMZ5t4R8ujCtrCJghRELwBXxyLYCC,HumidiFi,0.117,1
6FPgDPwgAY4WskguMZ5t4R8ujCtrCJghRELwBXxyLYCC,ZeroFi,0.099,1
6FPgDPwgAY4WskguMZ5t4R8ujCtrCJghRELwBXxyLYCC,GoonFi,0.018,1
6FPgDPwgAY4WskguMZ5t4R8ujCtrCJghRELwBXxyLYCC,BisonFi,0.009,1
6d51A3mAaRHMZx2Zyf29SKmudjxHnyQmFc7LwpjoZMSc,SolFiV2,0.009,1
6gRnEaxAPr1hjtwCzrmSAztA4xbHCVNWJSRXh74sXFKJ,SolFiV2,0.36,1
6gRnEaxAPr1hjtwCzrmSAztA4xbHCVNWJSRXh74sXFKJ,HumidiFi,0.252,1
6gRnEaxAPr1hjtwCzrmSAztA4xbHCVNWJSRXh74sXFKJ,ZeroFi,0.126,1
6gRnEaxAPr1hjtwCzrmSAztA4xbHCVNWJSRXh74sXFKJ,GoonFi,0.117,1
6gRnEaxAPr1hjtwCzrmSAztA4xbHCVNWJSRXh74sXFKJ,BisonFi,0.018,1
6gRnEaxAPr1hjtwCzrmSAztA4xbHCVNWJSRXh74sXFKJ,TesseraV,0.009,1
6nTMtwShZeWEuVmi9Q6aPhATvqgaZ6ptATRXENjnUufZ,SolFiV2,0.009,1
6qdGJMxurSM3ydmvaCRpBsFQTZvi4EJyfsndz1kDFnET,HumidiFi,0.018,1
6w56SRhxWCtryzYAv92AVBdaE4oUzZzjXTEsFQ6eTKVN,HumidiFi,0.018,1
6w56SRhxWCtryzYAv92AVBdaE4oUzZzjXTEsFQ6eTKVN,TesseraV,0.018,1
6w56SRhxWCtryzYAv92AVBdaE4oUzZzjXTEsFQ6eTKVN,BisonFi,0.009,1
71wKmu7jUhSgbo1HGiuA3ShfgAHAJfqZxjMW7HJexyVR,HumidiFi,0.0809999999999999,1
71wKmu7jUhSgbo1HGiuA3ShfgAHAJfqZxjMW7HJexyVR,GoonFi,0.063,1
71wKmu7jUhSgbo1HGiuA3ShfgAHAJfqZxjMW7HJexyVR,BisonFi,0.036,1
71wKmu7jUhSgbo1HGiuA3ShfgAHAJfqZxjMW7HJexyVR,TesseraV,0.018,1
71wKmu7jUhSgbo1HGiuA3ShfgAHAJfqZxjMW7HJexyVR,SolFiV2,0.009,1
71wKmu7jUhSgbo1HGiuA3ShfgAHAJfqZxjMW7HJexyVR,ZeroFi,0.009,1
7JJ4RrYC4wBb2ZangbVW4XbQenhEbkdoo7vhoWoShYjp,SolFiV2,0.351,1
7JJ4RrYC4wBb2ZangbVW4XbQenhEbkdoo7vhoWoShYjp,HumidiFi,0.27,1
7JJ4RrYC4wBb2ZangbVW4XbQenhEbkdoo7vhoWoShYjp,GoonFi,0.1619999999999999,1
