amm_trade,signer,back_running,fat_sandwich,front_running,sandwich,validator,sandwich_complete,cost_sol,profit_sol,net_profit_sol,confidence,classification,rank,total_profit,attack_count
HumidiFi,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,0,477,0,8,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,242,0.242,2.42,2.178,high,FAT_SANDWICH,7,3.024,6
BisonFi,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,0,127,0,2,9n1eEtJJfj1535NYfx524QcCG5aHbf5DH7ejqBrFLBwG,64,0.064,0.64,0.5760000000000001,high,FAT_SANDWICH,7,3.024,6
GoonFi,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,0,26,0,0,GiYSnFRrXrmkJMC54A1j3K4xT6ZMfx1NSThEe5X2WpDe,13,0.013,0.13,0.117,high,FAT_SANDWICH,7,3.024,6
SolFiV2,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,0,18,0,0,HLnodbYkL5PFA8hjAZDkm5pGzV7eLTvcs671AW2L6St9,9,0.009,0.09,0.0809999999999999,high,FAT_SANDWICH,7,3.024,6
TesseraV,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,0,14,0,0,PRGNnb8DxVcP2WjSHfVRGgc8SkA5u6dbMwoTVV1BGKN,7,0.007,0.07,0.063,high,FAT_SANDWICH,7,3.024,6
ZeroFi,4swoALYuvetDK6N3ak1Knc1bMLbm7nzkxCW1nqjPWGRV,0,2,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,1,0.001,0.01,0.009,medium,FAT_SANDWICH,7,3.024,6
HumidiFi,enzog436vHy38bMhNR9XDENrvhxPK7y8wBQri852rhG,0,578,0,2,FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,290,0.29,2.9,2.61,high,FAT_SANDWICH,8,3.024,5
BisonFi,enzog436vHy38bMhNR9XDENrvhxPK7y8wBQri852rhG,0,64,0,0,Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,32,0.032,0.32,0.288,high,FAT_SANDWICH,8,3.024,5
GoonFi,enzog436vHy38bMhNR9XDENrvhxPK7y8wBQri852rhG,0,14,0,0,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,7,0.007,0.07,0.063,medium,FAT_SANDWICH,8,3.024,5
SolFiV2,enzog436vHy38bMhNR9XDENrvhxPK7y8wBQri852rhG,0,8,0,0,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,4,0.004,0.04,0.036,high,FAT_SANDWICH,8,3.024,5
TesseraV,enzog436vHy38bMhNR9XDENrvhxPK7y8wBQri852rhG,0,6,0,0,FZ4MT1HYJHd9GK8D5mJ9f3r7irLaDL5NxBNLjGqrLqs9,3,0.003,0.03,0.027,high,FAT_SANDWICH,8,3.024,5
TesseraV,k3bS5WfZ5P2NTgkVSwdbVrveYc25iXiEHYfZfVruBGq,0,348,0,9,22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,178,0.178,1.78,1.602,high,FAT_SANDWICH,9,2.844,6
HumidiFi,k3bS5WfZ5P2NTgkVSwdbVrveYc25iXiEHYfZfVruBGq,0,230,0,6,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,118,0.118,1.18,1.0619999999999998,high,FAT_SANDWICH,9,2.844,6
ZeroFi,k3bS5WfZ5P2NTgkVSwdbVrveYc25iXiEHYfZfVruBGq,0,15,0,2,FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,8,0.008,0.08,0.072,high,FAT_SANDWICH,9,2.844,6
GoonFi,k3bS5WfZ5P2NTgkVSwdbVrveYc25iXiEHYfZfVruBGq,0,11,0,0,DNVZMSqeRH18Xa4MCTrb1MndNf3Npg4MEwqswo23eWkf,5,0.005,0.05,0.045,high,FAT_SANDWICH,9,2.844,6
BisonFi,k3bS5WfZ5P2NTgkVSwdbVrveYc25iXiEHYfZfVruBGq,0,8,0,0,2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX,4,0.004,0.04,0.036,high,FAT_SANDWICH,9,2.844,6
SolFiV2,k3bS5WfZ5P2NTgkVSwdbVrveYc25iXiEHYfZfVruBGq,0,7,0,0,5marvipGzf98hxnoJFXsZbGHSXcEQ3yRGJ4ps7D3V4ou,3,0.003,0.03,0.027,high,FAT_SANDWICH,9,2.844,6
HumidiFi,9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,0,541,0,3,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,271,0.271,2.71,2.439,high,FAT_SANDWICH,10,2.781,5
BisonFi,9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,0,65,0,0,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,32,0.032,0.32,0.288,medium,FAT_SANDWICH,10,2.781,5
TesseraV,9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,0,6,0,0,SP9K2c8Z1aaQaqdQgC6hZMJ5UCTTnE76XNYVse7H94b,3,0.003,0.03,0.027,medium,FAT_SANDWICH,10,2.781,5
GoonFi,9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,0,4,0,0,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,2,0.002,0.02,0.018,medium,FAT_SANDWICH,10,2.781,5
SolFiV2,9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,0,3,0,0,8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM,1,0.001,0.01,0.009,medium,FAT_SANDWICH,10,2.781,5
HumidiFi,han5oo9sy98473nuWU7PwkdgpJVFvQEQ14S5CCdbeYQ,0,511,0,3,HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,256,0.256,2.56,2.3040000000000003,high,FAT_SANDWICH,11,2.6550000000000002,5
BisonFi,han5oo9sy98473nuWU7PwkdgpJVFvQEQ14S5CCdbeYQ,0,70,0,0,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,35,0.035,0.35,0.315,high,FAT_SANDWICH,11,2.6550000000000002,5
GoonFi,han5oo9sy98473nuWU7PwkdgpJVFvQEQ14S5CCdbeYQ,0,5,0,0,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,2,0.002,0.02,0.018,medium,FAT_SANDWICH,11,2.6550000000000002,5
SolFiV2,han5oo9sy98473nuWU7PwkdgpJVFvQEQ14S5CCdbeYQ,0,3,0,0,GmCxjmjKZoaKN1DKunbYq8RCYib94Nm3sHyncFfofaF5,1,0.001,0.01,0.009,high,FAT_SANDWICH,11,2.6550000000000002,5
TesseraV,han5oo9sy98473nuWU7PwkdgpJVFvQEQ14S5CCdbeYQ,0,3,0,0,ciTyjzN9iyobidMycjyqRRM7vXAHXkFzH3m8vEr6cQj,1,0.001,0.01,0.009,medium,FAT_SANDWICH,11,2.6550000000000002,5
HumidiFi,AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,0,241,0,3,HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,121,0.121,1.21,1.089,high,FAT_SANDWICH,12,2.466,6
TesseraV,AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,0,126,0,2,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,64,0.064,0.64,0.5760000000000001,high,FAT_SANDWICH,12,2.466,6
BisonFi,AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,0,63,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,31,0.031,0.31,0.279,high,FAT_SANDWICH,12,2.466,6
GoonFi,AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,0,44,0,2,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,23,0.023,0.23,0.207,high,FAT_SANDWICH,12,2.466,6
ZeroFi,AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,0,43,0,3,DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,22,0.022,0.22,0.198,high,FAT_SANDWICH,12,2.466,6
SolFiV2,AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,0,26,0,0,9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7,13,0.013,0.13,0.117,high,FAT_SANDWICH,12,2.466,6
HumidiFi,foxMFk9faHggM4HWQWETCPSDvMbWx8LSv4c9CrkmBx6,0,424,0,1,6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,212,0.212,2.12,1.908,high,FAT_SANDWICH,13,2.448,6
BisonFi,foxMFk9faHggM4HWQWETCPSDvMbWx8LSv4c9CrkmBx6,0,110,0,0,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,55,0.055,0.55,0.495,high,FAT_SANDWICH,13,2.448,6
GoonFi,foxMFk9faHggM4HWQWETCPSDvMbWx8LSv4c9CrkmBx6,0,5,0,0,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,2,0.002,0.02,0.018,medium,FAT_SANDWICH,13,2.448,6
SolFiV2,foxMFk9faHggM4HWQWETCPSDvMbWx8LSv4c9CrkmBx6,0,2,0,0,FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,1,0.001,0.01,0.009,medium,FAT_SANDWICH,13,2.448,6
TesseraV,foxMFk9faHggM4HWQWETCPSDvMbWx8LSv4c9CrkmBx6,0,2,0,0,PRGNnb8DxVcP2WjSHfVRGgc8SkA5u6dbMwoTVV1BGKN,1,0.001,0.01,0.009,medium,FAT_SANDWICH,13,2.448,6
ZeroFi,foxMFk9faHggM4HWQWETCPSDvMbWx8LSv4c9CrkmBx6,0,3,0,0,5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC,1,0.001,0.01,0.009,high,FAT_SANDWICH,13,2.448,6
HumidiFi,C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,0,302,0,0,nebu15XQKGpxzhhckADBX9PgvGN5qk9RRJCFLKc118w,151,0.151,1.51,1.359,high,FAT_SANDWICH,14,2.3400000000000003,6
BisonFi,C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,0,181,0,5,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,92,0.092,0.92,0.8280000000000001,high,FAT_SANDWICH,14,2.3400000000000003,6
TesseraV,C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,0,13,0,0,CoG8d9Fp2TFJRkAmrPMiPsGhQWHzdTTVoegEp9svRgmJ,6,0.006,0.06,0.054,high,FAT_SANDWICH,14,2.3400000000000003,6
SolFiV2,C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,0,10,0,0,FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,5,0.005,0.05,0.045,high,FAT_SANDWICH,14,2.3400000000000003,6
GoonFi,C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,0,9,0,0,3SkE34PVeGck2ArEffFKjihrQgURsvnoTAhitsNXNzXd,4,0.004,0.04,0.036,high,FAT_SANDWICH,14,2.3400000000000003,6
ZeroFi,C2bK8HFrL71aLnpyExVoJmqjDPA9tbLMXcBNAkRQnLfQ,0,4,0,0,JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,2,0.002,0.02,0.018,medium,FAT_SANDWICH,14,2.3400000000000003,6
GoonFi,FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,0,125,0,20,EUcJwf7jXskRE6NZBtFPVH2EedNvNYko8LL2WT62XctB,72,0.072,0.72,0.6479999999999999,high,FAT_SANDWICH,15,2.187,6
HumidiFi,FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,0,144,0,1,9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7,72,0.072,0.72,0.6479999999999999,high,FAT_SANDWICH,15,2.187,6
SolFiV2,FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,0,123,0,19,GSTampk6BJRKSDkzhaMM49R7qRx98MTPYYWvKbp83XKc,70,0.07,0.7000000000000001,0.6300000000000001,high,FAT_SANDWICH,15,2.187,6
BisonFi,FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,0,24,0,0,ArMBx6veRq33ffEP9sxHafiPRgrtzww4XvbwZbSMfXiM,12,0.012,0.12,0.108,high,FAT_SANDWICH,15,2.187,6
TesseraV,FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,0,25,0,0,6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK,12,0.012,0.12,0.108,high,FAT_SANDWICH,15,2.187,6
ZeroFi,FbgR9632h4rvPciZzCHRGNrEaQM9bC2cGgAikJ8HUfS1,0,11,0,0,q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,5,0.005,0.05,0.045,high,FAT_SANDWICH,15,2.187,6
HumidiFi,2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,0,399,0,2,A1vqhA2fS6K7CvHsJKX1ACcHJFEmyRg4KuR5pctHANy4,200,0.2,2.0,1.8,high,FAT_SANDWICH,16,2.178,5
BisonFi,2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,0,68,0,0,ABC1U4cf9DZMwqy8ktEr4WJj8VHmVBQibbC57gEJthwY,34,0.034,0.34,0.306,high,FAT_SANDWICH,16,2.178,5
GoonFi,2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,0,6,0,0,2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,3,0.003,0.03,0.027,high,FAT_SANDWICH,16,2.178,5
TesseraV,2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,0,6,0,0,G3a3iYZKNLbivothF3twqcaTCEvoPb9uJ2bFc9DNKkBQ,3,0.003,0.03,0.027,high,FAT_SANDWICH,16,2.178,5
SolFiV2,2dRR9CaNrEsHm3UqZacEf8AoDuDx4NGQyMhGxG71NzkN,0,4,0,1,9GHvMeJ4ZWuAX6sDGscFL1TBMszx2EehnrcTVUy4MZJQ,2,0.002,0.02,0.018,high,FAT_SANDWICH,16,2.178,5
HumidiFi,J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,0,242,0,6,FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,124,0.124,1.24,1.116,high,FAT_SANDWICH,17,2.142,6
TesseraV,J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,0,117,0,5,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,60,0.06,0.6,0.54,high,FAT_SANDWICH,17,2.142,6
BisonFi,J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,0,73,0,1,Bs19Z9SokV1s46jutN9tqqaCgYf1GsVyyytVfkzwn9qK,36,0.036,0.36,0.3239999999999999,high,FAT_SANDWICH,17,2.142,6
GoonFi,J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,0,19,0,1,9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7,9,0.009,0.09,0.0809999999999999,high,FAT_SANDWICH,17,2.142,6
SolFiV2,J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,0,15,0,0,JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,7,0.007,0.07,0.063,high,FAT_SANDWICH,17,2.142,6
ZeroFi,J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,0,5,0,1,DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,2,0.002,0.02,0.018,high,FAT_SANDWICH,17,2.142,6
HumidiFi,ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,0,395,0,1,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,197,0.197,1.97,1.773,high,FAT_SANDWICH,18,2.133,7
BisonFi,ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,0,53,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,26,0.026,0.26,0.234,high,FAT_SANDWICH,18,2.133,7
SolFiV2,ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,0,17,0,1,Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,8,0.008,0.08,0.072,high,FAT_SANDWICH,18,2.133,7
ObricV2,ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,0,6,0,1,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,3,0.003,0.03,0.027,high,FAT_SANDWICH,18,2.133,7
