amm_oracle,validator,transaction_count,mean_latency_us,std_latency_us,pool_trades
AlphaQ,7Nu9ckgtjobZ3MkbadGFKEvRymYuah9HmcxiUJKMM9NB,11,101344.91,104275.39,11
AlphaQ,7PdKhpKz7T39vZHFL1UfcYNDsLvay6hp4KPQq1aUckFf,28,299421.93,214752.14,28
AlphaQ,7PpXQgDb9eCHN1Uudgi77Wm89cRz4T85YgDw83qvaJXd,3,187242.0,163010.52,3
AlphaQ,7QQGNm3ptwinipDCyaCF7jY5katgmFUu1ieP2f7nwLpE,127,137817.37,110097.93,127
AlphaQ,7TYbdqaFpHbLUWBe6fTc19XPweUMN6fB3GBW3TzZWu1i,3,144791.67,139527.31,3
AlphaQ,7U68WfpxJF5W1HjVQ2NCQr5EuKhNSvSRAnmWTk6225Jf,9,181654.67,118495.06,9
AlphaQ,7VZM7YHcX73TpGoXDeBu61g4QKC86GwAEnew8dA7Y2xn,12,248094.42,144117.67,12
AlphaQ,7ZjHeeYEesmBs4N6aDvCQimKdtJX2bs5boXpJmpG2bZJ,11,128864.73,128146.54,11
AlphaQ,7Zm1pE4FubFYZDyAQ5Labh3A4cxDcvve1s3WCRgEAZ84,38,196364.34,152520.47,38
AlphaQ,7cVfgArCheMR6Cs4t6vz5rfnqd56vZq4ndaBrY5xkxXy,121,293059.04,158709.62,121
AlphaQ,7knvB4bbqHCKuNp3ef2hJWdwqoH6WAUi55NQt6LdRfkx,3,125923.33,111219.83,3
AlphaQ,7mF8NZJdREuM1uwYcvKffuY9QJBEoHhNp4hZ4NS2fuXW,22,99700.45,94005.94,22
AlphaQ,7nzTzRZzezmugqE5ZjHRMxarhXunpwZ2PUdjV7uYzt7A,12,157424.5,93556.17,12
AlphaQ,7pR7t5axFfkg2VZB1uAuFNUvpAeowq2v15J4gw5MmHTB,1,269123.0,,1
AlphaQ,7qGNnXKW1e3DsqEaSxwxMdBTFsrK73XtWTmkGitRyMQc,44,129573.95,115705.95,44
AlphaQ,7tqeaFKsg2K9xKnQWe61w71AtCZVMQvG4hbFAiFAngYw,38,329059.76,76246.66,38
AlphaQ,7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL,132,186566.29,107920.0,132
AlphaQ,7zAHbRxEQaNjKnQMjFm7j8LebHSGfzsQDdm2ZpUNPa7G,1,44441.0,,1
AlphaQ,84gC25fbFKYueR9WEfreUysk1n3ZFxLFDDjbyqeqGpoW,91,335023.52,91468.71,91
AlphaQ,8AkVj5aAtJ27tYXeq89cnSf68V43NarFHMx2iSDjZv7c,18,122537.78,117214.28,18
AlphaQ,8GLRbAstsabZuZUx73AoyfGi1FRCWSUhRgMugFyofEz7,12,125150.17,109048.62,12
AlphaQ,8Nvaxzif1NrdvxNkRetjT8xJvd33EHkKVrfL8EDkgaNy,18,345602.11,83456.56,18
AlphaQ,8T8AJfUCXwPFwEMmjca8gCRSktPrqbUBVa6ggNyhLhFJ,20,325319.55,63985.57,20
AlphaQ,8Yq98CFAorqAc3CN7XtMVgKLrBc78wsBvjhAbFr4sNQ5,8,199208.25,109451.63,8
AlphaQ,8ZQg3K1V1Z2BVJkjmnxpi43WKhjPGXphzu5QmBkJibSP,24,241044.54,107706.67,24
AlphaQ,8aPHvzVV91jZF948tykkoF6WfgLHppNfG8Z3V4gCrDix,8,158155.25,100698.23,8
AlphaQ,8augxYLUge2iWmitQMwbcBL5VQEpsM6aJdRofhwpnzyw,8,158520.62,113473.62,8
AlphaQ,8aySXUFrqJz5kath6aVijrkBH8ZtxMWJGhYXwYBpKmHK,9,112146.67,104976.71,9
AlphaQ,8cnksBVjDPspn3AvmxJd8JKUdh4uWDDXzDemPmDctaHi,6,203421.83,130243.98,6
AlphaQ,8cqck84coxk8TGXYBD95QosKCEA6fKwXLevcEv3oGmu8,15,107968.67,95780.54,15
AlphaQ,8ebFZA8NPLBZD91CwsG1HWQsa2B5Ludgdyf5Hi3sYhhs,18,159895.83,109157.37,18
AlphaQ,8hAYbagNt7CMBooFfqVJhBgLqLffpjXTWJMk8yybjJsN,14,177448.57,142524.53,14
AlphaQ,8j7RdaofeR9jaXWqYTubqooHpcajP7EfhWbR4UKUB4fF,2,264061.5,54190.54,2
AlphaQ,8mhdbYU3PxALpTfDrdTYvk5obaGxL8ATQMvCLXW9SV2L,4,85358.0,120692.29,4
AlphaQ,8n4pc4sCJtBeLfJdGyJn6EcZuhtfTiepRa9ExdJFdmEN,19,114843.79,100331.29,19
AlphaQ,8nbE53mcKhy74HLiGZ1q5HRocwiCvgh49csSaHSdtukr,25,174572.0,83609.45,25
AlphaQ,8pyp3vfVPRziYdAYEyqkwytdBbdVbQmHqfQAVDcRV3w,15,147648.13,116699.08,15
AlphaQ,8tjFeSApQ85ThoQXT28acfF2KUfQr3TvTdirSkzNnYC7,86,133390.79,114194.85,86
AlphaQ,8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM,67,139873.43,117312.39,67
AlphaQ,8uPW9msN75rfaKiwy8y8NxEX5zSk2WejtVv5YhZr3jCo,8,135959.25,111770.17,8
AlphaQ,8vk6QpG93JSaQCSgnycBsv5qmfQBk4qC9FjNA35E5JhU,15,242183.73,128554.7,15
AlphaQ,8yjHdsCgx3bp2zEwGiWSMgwpFaCSzfYAHT1vk7KJBqhN,16,164326.19,113042.67,16
AlphaQ,91oPXTs2oq8VvJpQ5TnvXakFGnnJSpEB6HFWDtSctwMt,19,133367.37,97604.95,19
AlphaQ,93Q99nhdKjuSe6WNXgMBbC3s8QVQEAoHKt91PNRkUkMn,11,148613.64,125108.57,11
AlphaQ,96XWbKem84optM8RLHhc8EYJQG8CCWA8F6oqWMPHDweN,14,128405.43,84220.42,14
AlphaQ,97jbhVBYcSmwGXjrx5PPWXucDsVBqwyoQ6rzP3B6eeMt,11,177369.36,115536.27,11
AlphaQ,99rG5AhkVagxJ7y8NpMAmy1h1u9GhT3h1Cimu2X3cwaJ,5,144970.2,81790.59,5
AlphaQ,9AW87WqARQonyJYhx1G25fKfvjURFYVmHs79z1NUXDPD,30,158971.57,115999.63,30
AlphaQ,9D3o3EYeknhTrRvXS1PnD2euGXnMFa3HwpYBq5gPZJDA,2,40602.5,50923.71,2
AlphaQ,9FXD1NXrK6xFU8i4gLAgjj2iMEWTqJhSuQN8tQuDfm2e,14,112897.64,76685.08,14
AlphaQ,9GHvMeJ4ZWuAX6sDGscFL1TBMszx2EehnrcTVUy4MZJQ,21,151932.43,113295.79,21
AlphaQ,9PRr9k87HjjdLMRkxtxygidjxVta9VQ1kAsqgLBWXKdQ,12,192579.25,133070.3,12
AlphaQ,9T6SNsBimjCRJpkEjiVsc8AcxTBa1XVA7RjnBGGfWP23,9,177600.44,122749.77,9
AlphaQ,9U4WqNGVywKt3gG9HSt9tGVXBDXJvgid6BVweRysaJmg,8,150511.5,109319.88,8
AlphaQ,9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,338,153831.81,109610.23,338
AlphaQ,9USijQaAfSzw6gWbHNq68VVigmj3HvffDJYhbK4tfquB,1,0.0,,1
