validator,back_running_count,front_running_count,sandwich_count,fat_sandwich_count,sandwich_complete_count,total_cost_sol,total_profit_sol,net_profit_sol,avg_confidence,mev_events,mev_risk_score
CPcDFHCAKkr5Kp9T5aQWJhXV5J6iFj141NMQ87L6poPL,0,0,0,35,16,0.016,0.16,0.144,,4,
9GHvMeJ4ZWuAX6sDGscFL1TBMszx2EehnrcTVUy4MZJQ,0,0,2,31,15,0.015,0.15,0.135,,3,
FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH,0,0,3,30,15,0.015,0.15,0.135,,3,
CoG8d9Fp2TFJRkAmrPMiPsGhQWHzdTTVoegEp9svRgmJ,0,0,0,33,15,0.015,0.15,0.135,,5,
krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,2,2,0,38,14,0.016,0.148,0.132,,13,
BCS95L5JHBWHvWkcEJBEF3BH5QHxKcPeaTgoYmHLvfFh,0,0,1,31,14,0.014,0.14,0.126,,4,
ArMBx6veRq33ffEP9sxHafiPRgrtzww4XvbwZbSMfXiM,0,0,0,29,14,0.014,0.14,0.126,,3,
8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM,0,0,0,41,14,0.014,0.14,0.126,,14,
8tjFeSApQ85ThoQXT28acfF2KUfQr3TvTdirSkzNnYC7,0,0,2,32,13,0.013,0.13,0.117,,10,
EkvdKhULbMFqjKBKotAzGi3kwMvMpYNDKJXXQQmi6C1f,0,0,1,33,13,0.013,0.13,0.117,,11,
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,0,0,1,27,13,0.013,0.13,0.117,,1,
5Cchr1XGEg7dbBXByV5NY2ad8jfxAM7HA3x8D56rq9Ux,0,0,0,28,12,0.012,0.12,0.108,,7,
Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,0,0,0,35,12,0.012,0.12,0.108,,14,
CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,0,0,0,25,11,0.011,0.11,0.099,,5,
CfgRXmp1LEYr97EaT2RyoL2cSvtWgJh52Bes89RxVSoW,0,0,2,22,11,0.011,0.11,0.099,,3,
GkFT5nmcFVmJiLwuE98PjdF3LReMeq4WbejFHfwrnsgw,0,0,0,24,11,0.011,0.11,0.099,,2,
2uxEHizFmmnLekKG2LZJwxNabhpymEYfdVCpgDxjt87m,0,0,0,22,11,0.011,0.11,0.099,,1,
Ninja1spj6n9t5hVYgF3PdnYz2PLnkt7rvaw3firmjs,0,0,3,23,10,0.01,0.1,0.09,,5,
7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL,0,0,0,27,10,0.01,0.1,0.09,,7,
parayLyZvwnGjDT2pGqrVn8UDxmNcdNQCE8uPRWMeRz,0,0,0,21,10,0.01,0.1,0.09,,1,
HLnodbYkL5PFA8hjAZDkm5pGzV7eLTvcs671AW2L6St9,0,0,0,20,10,0.01,0.1,0.09,,2,
LA1NEzryoih6CQW3gwQqJQffK2mKgnXcjSQZSRpM3wc,0,0,0,22,10,0.01,0.1,0.09,,2,
XkCriyrNwS3G4rzAXtG5B1nnvb5Ka1JtCku93VqeKAr,0,0,0,18,9,0.009,0.09,0.081,,1,
HM1KjNaXa4w8K4gCXbieoMh5gUTNeUhg9fvdXMKeBW3L,0,0,0,24,9,0.009,0.09,0.081,,7,
SaGAgdkowooXBrHihpmE8gsjf1dUG7n5SqnyJxYFnXJ,0,0,0,18,9,0.009,0.09,0.081,,1,
AicQr2zCWBLiBwt2r6o7iTemmtyE7q5pTKyuuupbXEQA,0,0,0,20,9,0.009,0.09,0.081,,2,
CG4tRANBKrzUmpv93V5sgftjQznBdiJsc2yPCzZWWuS9,0,0,0,28,9,0.009,0.09,0.081,,12,
9FXD1NXrK6xFU8i4gLAgjj2iMEWTqJhSuQN8tQuDfm2e,0,0,3,18,9,0.009,0.09,0.081,,2,
DTSUkYHd2e9P2HLyZfbLarsbDdPhQUhZnWjRYuJZQRC8,0,0,3,24,9,0.009,0.09,0.081,,9,
