signer,total_trades,trades_per_hour,aggregator_likelihood,late_slot_ratio,oracle_backrun_ratio,high_bytes_ratio,cluster_ratio,mev_score,wash_trading_score,classification,binary_label,validators,total_validators,pools,total_pools,sandwich_complete,front_running,back_running,total_attacks,cost_sol,profit_sol,net_profit_sol
88fz3rUPyg3zE7zL2v9zingxDy1jGwGU7xTtTzQEN72z,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,1,"SolFiV2,HumidiFi",2,1,0,2,3,0.002,0.014,0.012
233wu7BoeySgx3rAF2yBMWrKv8nKUMdSaShbZQ1GHeHQ,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,HaLanfo94ezLc3JZ55qqxr7W3qbe1PprJyv2uEtriEqN,1,"HumidiFi,SolFiV2",2,1,0,2,3,0.002,0.014,0.012
4XUL627a7DDD6r5p95J7L6wqb3L4LqRK6saKv4regYCK,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,1,"HumidiFi,SolFiV2",2,1,0,2,3,0.002,0.014,0.012
HC5r8TjwpUfSjSS4YLYB7EPfMhi5t2W5aAFVpCbjxbZP,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,EkvdKhULbMFqjKBKotAzGi3kwMvMpYNDKJXXQQmi6C1f,1,"GoonFi,HumidiFi",2,1,0,2,3,0.002,0.014,0.012
4zZeua8jjWgNdbX78g96buAovszrJJbM5bUYJF2wm2BX,3,3.1250226057769512,0.5,0.0,1.0,0.6666666666666666,0.5,0.5333333333333333,4.934246219647818,LIKELY MEV BOT,1,"DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,CLsFr1KZVbAyz16iFpwg2e4hiekR1unpwyxfNdjBMaoE",2,ZeroFi,1,0,0,3,3,0.0015,0.006,0.0045
592vvp3ERtTtVCM45JzSN8tvhzeDCSkeVVuBu6D5nJq3,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,DP9iBgK9c7tJYb83KhxQMFNc1LXYu7nE7EhWpEzQnjmg,1,"SolFiV2,HumidiFi",2,1,0,2,3,0.002,0.014,0.012
3kUEEXvjUmyW2m46CgCjE97C4fw1skwxFXExZ3aeoRiC,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,8AkVj5aAtJ27tYXeq89cnSf68V43NarFHMx2iSDjZv7c,1,"HumidiFi,SolFiV2",2,1,0,2,3,0.002,0.014,0.012
9bherU5RStGPvs6wpLtxsJysc5sc8m8fsummQEKA3ZBG,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,tkmaiSoZ3F8MofkQBVWG6JYSCzyN6ioe7ReYXohx3WJ,1,"HumidiFi,SolFiV2",2,1,0,2,3,0.002,0.014,0.012
4C44GaJHUec7pDCFmGiCyHnSo7yh37CDmmjnnecUQ1Tv,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,1,"HumidiFi,SolFiV2",2,1,0,2,3,0.002,0.014,0.012
vDxjmcP3SYqE6qYUUA4iuEep2y42PXYzh9mj2yCHCqC,2,20.0,0.0,0.0,1.0,0.0,1.0,0.5,33.333333333333336,LIKELY MEV BOT,1,JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,1,"HumidiFi,GoonFi",2,1,0,2,3,0.002,0.014,0.012
